Id;Label;In-Degree;Out-Degree;Degree
hep-th/0002085;hep-th/0002085;3;8;11
hep-th/9606034;hep-th/9606034;4;4;8
hep-th/9910173;hep-th/9910173;10;7;17
hep-th/9711200;hep-th/9711200;5467;73;5540
hep-th/9803002;hep-th/9803002;702;14;716
hep-th/9904191;hep-th/9904191;178;16;194
hep-th/9512098;hep-th/9512098;7;1;8
hep-th/9706197;hep-th/9706197;3;27;30
hep-th/9903221;hep-th/9903221;10;13;23
hep-th/0002084;hep-th/0002084;151;33;184
hep-th/9811159;hep-th/9811159;34;9;43
hep-th/9908105;hep-th/9908105;233;62;295
hep-th/9810185;hep-th/9810185;27;9;36
hep-th/9805034;hep-th/9805034;124;16;140
hep-th/9901077;hep-th/9901077;27;9;36
hep-th/9908142;hep-th/9908142;2264;77;2341
hep-th/9809121;hep-th/9809121;39;5;44
hep-th/9912212;hep-th/9912212;8;12;20
hep-th/9903089;hep-th/9903089;13;32;45
hep-th/0001215;hep-th/0001215;68;16;84
hep-th/9902059;hep-th/9902059;79;39;118
hep-th/9811232;hep-th/9811232;72;41;113
hep-th/9805082;hep-th/9805082;40;42;82
hep-th/9912072;hep-th/9912072;697;17;714
hep-th/9811213;hep-th/9811213;30;26;56
hep-th/9912153;hep-th/9912153;55;16;71
hep-th/9810099;hep-th/9810099;66;29;95
math/9803057;math/9803057;25;18;43
hep-th/9910037;hep-th/9910037;13;15;28
hep-th/9205103;hep-th/9205103;28;1;29
hep-th/9807198;hep-th/9807198;68;17;85
hep-th/9904091;hep-th/9904091;7;10;17
hep-th/9907008;hep-th/9907008;17;15;32
hep-th/9908019;hep-th/9908019;74;24;98
hep-th/9711162;hep-th/9711162;1112;19;1131
hep-th/9909022;hep-th/9909022;26;28;54
hep-th/9711165;hep-th/9711165;606;7;613
hep-th/9902187;hep-th/9902187;4;0;4
hep-th/9612115;hep-th/9612115;553;0;553
hep-th/9608177;hep-th/9608177;133;4;137
hep-th/9911098;hep-th/9911098;143;15;158
hep-th/9912168;hep-th/9912168;34;14;48
hep-th/9610043;hep-th/9610043;1656;19;1675
hep-th/0002087;hep-th/0002087;11;35;46
hep-ph/9308271;hep-ph/9308271;189;8;197
hep-th/9510209;hep-th/9510209;1357;18;1375
hep-th/0001112;hep-th/0001112;52;8;60
hep-th/9909172;hep-th/9909172;113;81;194
hep-th/0001157;hep-th/0001157;7;22;29
hep-th/9905006;hep-th/9905006;105;38;143
hep-th/9708049;hep-th/9708049;26;43;69
hep-th/9906152;hep-th/9906152;8;0;8
hep-th/9406132;hep-th/9406132;101;6;107
hep-th/9806124;hep-th/9806124;26;16;42
hep-th/9603142;hep-th/9603142;995;4;999
hep-th/9303040;hep-th/9303040;204;1;205
hep-ph/9804398;hep-ph/9804398;1655;14;1669
hep-th/0106174;hep-th/0106174;8;7;15
hep-ph/9712443;hep-ph/9712443;31;11;42
hep-th/9405066;hep-th/9405066;3;6;9
hep-ph/9503303;hep-ph/9503303;105;2;107
hep-th/9605136;hep-th/9605136;191;23;214
hep-th/9906246;hep-th/9906246;27;29;56
hep-th/9905115;hep-th/9905115;22;74;96
hep-th/9904207;hep-th/9904207;446;77;523
hep-th/0001143;hep-th/0001143;45;22;67
hep-th/9906064;hep-th/9906064;2640;13;2653
hep-th/9805005;hep-th/9805005;49;7;56
hep-th/9702110;hep-th/9702110;93;50;143
hep-th/9503124;hep-th/9503124;1386;10;1396
hep-th/9204012;hep-th/9204012;119;2;121
hep-th/9808122;hep-th/9808122;24;19;43
hep-th/9212049;hep-th/9212049;138;1;139
hep-th/9602070;hep-th/9602070;663;19;682
hep-th/9605180;hep-th/9605180;61;7;68
hep-th/9508071;hep-th/9508071;22;15;37
hep-ph/9905221;hep-ph/9905221;2623;15;2638
hep-th/9908023;hep-th/9908023;135;46;181
hep-th/9603133;hep-th/9603133;314;21;335
hep-th/0002086;hep-th/0002086;8;31;39
hep-th/9611159;hep-th/9611159;282;29;311
hep-th/9907166;hep-th/9907166;200;9;209
hep-th/9909215;hep-th/9909215;110;36;146
hep-th/9611173;hep-th/9611173;332;12;344
hep-th/9611174;hep-th/9611174;102;31;133
hep-th/9805112;hep-th/9805112;328;24;352
hep-th/9806162;hep-th/9806162;24;10;34
hep-th/9902197;hep-th/9902197;48;0;48
hep-th/9802199;hep-th/9802199;27;12;39
hep-th/9807179;hep-th/9807179;68;16;84
hep-th/9912030;hep-th/9912030;11;24;35
hep-th/9504081;hep-th/9504081;303;16;319
