from,to,delta_pagerank
hep-th/0002080,hep-th/9710024,4.299825E-07
hep-th/0002080,hep-th/9406163,4.299820E-07
hep-th/0002080,hep-th/9705189,4.299811E-07
hep-th/0002080,alg-geom/9601012,4.299827E-07
hep-th/0002080,hep-th/9706003,4.299827E-07
hep-th/0002080,hep-th/0510146,4.299826E-07
hep-th/0002080,q-alg/9504008,4.299828E-07
hep-th/0002080,hep-th/9404128,4.299828E-07
hep-th/0002080,hep-th/9904156,4.299827E-07
hep-th/0002080,hep-th/0610231,4.299816E-07
hep-th/0002080,hep-th/9311156,4.299822E-07
hep-th/0002080,hep-ph/9910456,4.299826E-07
hep-th/0002080,0708.1001,4.299826E-07
hep-th/0002080,hep-ph/0306119,4.299826E-07
hep-th/0002080,0810.5397,4.299826E-07
hep-th/0002080,hep-th/0010124,4.299820E-07
hep-th/0002080,hep-th/0312085,4.299869E-07
hep-th/0002080,hep-th/0305101,4.299807E-07
hep-th/0002080,hep-th/0106283,4.299826E-07
hep-th/0002080,hep-th/9903099,4.299826E-07
hep-th/0002080,hep-th/9701166,4.299603E-07
hep-th/0002080,astro-ph/0107573,4.299800E-07
hep-th/0002080,hep-th/9804062,4.299817E-07
hep-th/0002080,hep-th/0205205,4.299821E-07
hep-th/0002080,0712.4111,4.299826E-07
hep-th/0002080,math/0408210,4.299827E-07
hep-th/0002080,hep-th/9807138,4.299859E-07
hep-th/0002080,hep-th/9307166,4.299826E-07
hep-th/0002080,cond-mat/9402065,4.299834E-07
hep-th/0002080,hep-ph/0105278,4.299827E-07
hep-th/0002080,hep-th/9311056,4.299873E-07
hep-th/0002080,gr-qc/9803068,4.327775E-07
hep-th/0002080,hep-th/0503066,4.299822E-07
hep-th/0002080,hep-th/0104199,4.299826E-07
hep-th/0002080,0906.3817,4.299826E-07
hep-th/0002080,quant-ph/0108055,4.299825E-07
hep-th/0002080,hep-th/9809067,4.300276E-07
hep-th/0002080,hep-lat/9311005,4.299828E-07
hep-th/0002080,hep-th/9608109,4.299792E-07
hep-th/0002080,hep-th/9410036,4.299827E-07
hep-th/0002080,hep-th/0201235,4.299825E-07
hep-th/0002080,hep-th/9412108,4.299823E-07
hep-th/0002080,0909.4706,4.299826E-07
hep-th/0002080,hep-th/9512182,4.299828E-07
hep-th/0002080,q-alg/9511003,4.299826E-07
hep-th/0002080,hep-th/0506246,4.302593E-07
hep-th/0002080,gr-qc/0310002,4.299822E-07
hep-th/0002080,0908.2469,4.299827E-07
hep-th/0002080,hep-th/9211141,4.299832E-07
hep-th/0002080,hep-th/9510060,4.299828E-07
hep-th/0002080,hep-th/9511204,4.299811E-07
hep-th/0002080,0905.0731,4.299827E-07
hep-th/0002080,math/9811092,4.299827E-07
hep-th/0002080,hep-th/0311247,4.299827E-07
hep-th/0002080,hep-th/9809010,4.299826E-07
hep-th/0002080,hep-ph/9712212,4.299028E-07
hep-th/0002080,hep-ph/0105035,4.299825E-07
hep-th/0002080,hep-th/0010016,4.299821E-07
hep-th/0002080,math-ph/0701057,4.299827E-07
hep-th/0002080,hep-th/0511302,4.338303E-07
hep-th/0002080,hep-th/9802203,4.304687E-07
hep-th/0002080,hep-th/0212275,4.299826E-07
hep-th/0002080,hep-th/9802203,4.304687E-07
hep-th/0002080,hep-th/9502123,4.299827E-07
hep-th/0002080,0904.3922,4.299826E-07
hep-th/0002080,hep-th/0409072,4.299731E-07
hep-th/0002080,math/0211319,4.299827E-07
hep-th/0002080,hep-ph/0510294,4.299826E-07
hep-th/0002080,hep-ph/0502169,4.299798E-07
hep-th/0002080,hep-th/9710001,4.299824E-07
hep-th/0002080,math-ph/9812013,4.299829E-07
hep-th/0002080,math/0604405,4.299828E-07
hep-th/0002080,hep-th/9402022,4.287637E-07
hep-th/0002080,hep-th/0511225,4.299826E-07
hep-th/0002080,hep-th/0410021,4.299828E-07
